code,name,generic_product_llm,model
3449865272011,Stickado hot chili,Salami Sticks scharf,opus
3482015035470,Feta,Feta,opus
4000177211311,Capri-Sun Fruit Crush Tropical,Fruchtsaftgetränk Tropical,opus
4000400002686,Brunch - Feine Kräuter,Frischkäse Kräuter,opus
4000400002693,Brunch Paprika & Peperoni,Frischkäse Paprika,opus
4000400002945,"Brunch, Classic",Frischkäse,opus
4000400009005,Schmelzkäse Sahne,Schmelzkäse Sahne,opus
4000400009012,Schmelzkäse Kräuter,Schmelzkäse Kräuter,opus
4000404935355,Bockwurst,Bockwurst,opus
4000405002063,Pommersche Leberwurst,Leberwurst fein,opus
4000405002070,Pommersche Feine Leberwurst Geflügel,Geflügelleberwurst,opus
4000405002087,Pommersche Grobe Gutsleberwurst,Leberwurst grob,opus
4000405002407,Gegrillter Kochschinken,Kochschinken gegrillt,opus
4000405002421,Kochschinken,Kochschinken,opus
4000405002605,Mühlen Frikadellen 100% Geflügel,Frikadellen Geflügel,opus
4000405002636,Vegetarische Mühlen Würstchen,Würstchen vegetarisch,opus
4000405003411,Feine Teewurst,Teewurst,opus
4000405004296,Grobe Schinkenwurst,Schinkenwurst grob,opus
4000405005217,Veganes Mühlen Hack,Hack vegan,opus
4000405005231,Vegetarische Mühlen Frikadellen - auf Basis von Weizen,Frikadellen vegetarisch,opus
4000405005286,Vegetarische Mühlen Bratwurst,Bratwurst vegetarisch,opus
4000405005316,Vegane Mühlen Salami - Klassisch,Salami vegan,opus
4000406072300,Mehl Weizen 405,Weizenmehl Type 405,opus
4000412010266,Goldsaft Sirup,Zuckerrübensirup,opus
4000417012005,Rum Raisins Hazelnuts with original Jamaican rum,Schokolade Vollmilch Rum Rosinen Nuss,opus
4000417025005,Marzipan,Schokolade Marzipan,opus
4000417026002,Nugat,Schokolade Nugat,opus
4000417281005,Spekulatius,Schokolade Spekulatius,opus
4000417622006,Ritter Sport Nuss-Splitter,Schokolade Vollmilch Nuss,opus
4000417702005,Dunkle Voll-Nuss,Schokolade Zartbitter Nuss,opus
4000446016456,Weizen Pita,Pita Weizen,opus
4000503100500,Mini Wini Würstchenkette,Mini Würstchen,opus
4000503280004,Curryking fix & fertig,Currywurst,opus
4000504176528,Ofenkäse,Ofenkäse,opus
4000512363729,Trolli Glotzer,Fruchtgummi sauer,opus
4000515001024,Meerrettich scharfwürzig,Meerrettich scharf,opus
4000521010423,Vitalis Weniger süß Knusper Himbeere,Knuspermüsli Himbeere,opus
4000521465407,Paradies Creme Schoko,Puddingpulver Schokolade,opus
4000521579005,Creme fraiche Classic,Crème fraîche,opus
4000521579302,Crème fraîche mit Kräutern,Crème fraîche Kräuter,opus
4000521661304,Vitalis Knusper müsli Honeys,Knuspermüsli Honig,opus
4000521661908,Vitalis Knusper Schoko-Banane,Knuspermüsli Schoko Banane,opus
4000522006821,Pombär Sour Cream,Kartoffelsnack Sour Cream,opus
4000522064302,Pom-Bär Original,Kartoffelsnack,opus
4000540000108,Kölln Haferflocken Blütenzarte Haferflocken Je 500-g-Packung 100 % Vollkorn-Hafer 0.99€ 2024 500g 1.19€ 1kg 2.38€,Haferflocken zart,opus
4000540000306,Kernige Haferflocken,Haferflocken kernig,opus
4000540000467,"Multikorn Flocken, Kernig",Mehrkornflocken kernig,opus
4000540002508,Schmelzflocken,Haferflocken Schmelzflocken,opus
4000540003147,Kölln Knusper Schoko-Minze Hafer Müsli,Knuspermüsli Schoko Minze,opus
4000540003222,"Kellogs, Hafer-Müsli, Schoko und Keks",Knuspermüsli Schoko Keks,opus
4000540003864,Schokomüsli,Schokomüsli,opus
4000540005004,Müsli-Riegel Hafer-Schoko,Müsliriegel Hafer Schoko,opus
4000540011050,Knusprige Haferfleks Klassik Kölln,Haferflocken knusprig,opus
4000540011364,Kölln Müsli Nuss & Krokant,Müsli Nuss,opus
4000540011517,Zartes Bircher Müsli,Bircher Müsli,opus
4000540031881,Schoko Müsli,Schokomüsli,opus
4000582185290,Schinken,Kochschinken,opus
4000582185498,Schinken gegart ofengegrillt,Kochschinken ofengegrillt,opus
4000582189397,Finesse Putenbrust,Putenbrust Aufschnitt,opus
4000582309795,Grillschinken,Grillschinken,opus
4000582309993,Saftschinken,Saftschinken,opus
4000607151002,Schogetten - Edel-Alpenvollmilchschokolade,Vollmilchschokolade,opus
4000607151200,Schogetten originals: Edel-Zartbitter,Zartbitterschokolade,opus
4000607852008,Dark Chocolate,Zartbitterschokolade,opus
4000832220009,Zaziki,Tzatziki,opus
4000832301050,Jogurti,Joghurt griechisch,opus
4000832912508,Apostels Sour Cream,Schmand,opus
4001163000599,Schupfnudeln,Schupfnudeln,opus
4001163134218,Kartoffel-Gnocchi,Kartoffel-Gnocchi,opus
4001228513088,Magnus Mineralwasser,Mineralwasser,opus
4001242002124,Tortillas Hot Chili,Tortilla Chips Chili,opus
4001242002209,Tortilla Chips Wild Paprika,Tortilla Chips Paprika,opus
4001475101601,"Salz, Alpen",Speisesalz,opus
4001475102608,Alpenjodsalz,Alpensalz,opus
4001475104602,Alpen JodSalz,Jodsalz,opus
4001686386613,Gummibärchen,Gummibärchen,opus
4001686510032,Maoam - Bloxx,Kaubonbon Cola,opus
4001716085523,Orangensaft,Orangensaft,opus
4001724011088,Die Ofenfrische Pepperoni Salami,Tiefkühlpizza Salami,opus
4001724819103,Ristorante - Pizza Funghi,Tiefkühlpizza Funghi,opus
4001812002400,Röstzwiebeln,Röstzwiebeln,opus
4001954161010,Original Irische Butter,Butter mildgesäuert,opus
4001954161232,Original irische Süßrahmbutter,Süßrahmbutter,opus
4001954165018,Butter Kerrygold extra Butter & Rapsöl - ungesalzen,Butter Rapsöl ungesalzen,opus
4001954165513,Kerrygold extra gesalzen,Butter gesalzen,opus
4001954165803,"Kerrgold extra XXL, ungesalzen",Butter ungesalzen,opus
4001954165834,"Kerrygold extra XXL, gesalzen",Mischstreichfett gesalzen,opus
4001954302147,Kerrygold Butterkäse,Butterkäse,opus
4002103019107,Erdinger Alkoholfreies Weizen,Weizenbier alkoholfrei,opus
4002334107635,Feinjoghurt - Kirsche,Fruchtjoghurt Kirsche,opus
4002334110802,Joghurt Mild nach Griechischer ART,Joghurt griechisch,opus
4002334113025,Der große Bauer Heidelbeer-Cassis,Fruchtjoghurt Heidelbeer-Cassis,opus
4002334113032,Kirsche,Fruchtjoghurt Kirsche,opus
4002334113339,Der große Bauer - Schokobälle-Banane,Fruchtjoghurt Banane Schoko,opus
4002334113346,Der große Bauer - Ananas-Kokos,Fruchtjoghurt Ananas-Kokos,opus
4002334117511,Feinjoghurt - Himbeere Passionsfrucht,Fruchtjoghurt Himbeere Passionsfrucht,opus
4002468084017,Frischkäse Almette Kräuter,Frischkäse Kräuter,opus
4002468134361,Feta (Schaf- & Ziegenmilch),Feta,opus
4002566006362,Schafkäse in Salzlake - koyun peyniri,Schafskäse,opus
4002566010703,Grill- und Pfannenkäse,Grillkäse,opus
4002566010710,Grill- und Pfannenkäse Natur,Grillkäse,opus
4002566010727,Grillkäse,Grillkäse,opus
4002590140124,Pulmoll Classic,Hustenbonbon,opus
4002671149176,Almette Genuss Pur Schalotte-Petersilie,Frischkäse Kräuter,opus
4002671151353,Patros Natur,Feta,opus
4002720002261,Melitta Auslese Klassisch Kaffee gemahlen,Kaffee gemahlen,opus
4002724000775,Alsan Bio-Margarine (gold),Margarine vegan,opus
4002970000710,BioMilch,Milch bio,opus
4002971006308,Allgäuer Joghurt,Joghurt,opus
4002971010206,Almighurt - Kirsche,Fruchtjoghurt Kirsche,opus
4002971010503,"Ehrmann Almighurt Haselnuss 4002971010503 Joghurt mild mit 16% Haselnusszubereitung, 3,8% Fett im Milchanteil.",Joghurt Haselnuss,opus
4002971011401,Almighurt - Pfirsich-Maracuja,Fruchtjoghurt Pfirsich-Maracuja,opus
4002971011906,Almighurt - Ananas,Fruchtjoghurt Ananas,opus
4002971013801,Zitronen Joghurt,Fruchtjoghurt Zitrone,opus
4002971037302,Almighurt - Kirsche-Banane,Fruchtjoghurt Kirsche-Banane,opus
4002971253108,Grand Dessert - Vanille,Pudding Vanille,opus
4002971840704,"Joghurt mild, Stracciatella",Joghurt Stracciatella,opus
4002971842104,Almighurt Schokolade,Joghurt Schokolade,opus
4002971842708,Almighurt Fantasie - Vanilla-Himbeere,Joghurt Vanille-Himbeere,opus
4002993071100,Hähnchen Filetstreifen,Hähnchenbrust Filetstreifen,opus
4003082008243,Cevapcici,Cevapcici,opus
4003160270302,"gefüllte Lebkuchenherzen mit Aprikosen-Fruchtfüllung, Zartbitter",Lebkuchenherzen Aprikose Zartbitter,opus
4003171040628,Geflügel-Fleischwurst,Geflügelfleischwurst,opus
4003171059842,Hähnchenbrustfilet,Hähnchenbrust gepökelt,opus
4003240909009,Apfel Direktsaft,Apfelsaft naturtrüb,opus
4003240911002,Birnensaft,Birnensaft,opus
4003240918001,Sauerkirsch Nektar,Sauerkirschnektar,opus
4003240924002,Banane,Bananennektar,opus
4003240955006,Mango-Maracuja-Orange,Mehrfruchtnektar Mango-Maracuja-Orange,opus
4003240970009,Frühstückssaft,Frühstückssaft,opus
4003490323600,Joghurt Griechischer Art,Joghurt griechisch,opus
4003490323617,Elinas Joghurt nach griechischer Art Honig 4003490323617 Joghurt nach griechischer Art mit Zucker und Honig,Joghurt griechisch Honig,opus
4003490323693,"Elinas Joghurt griechischer Art Blutorange Granatapfel 4003490323693 Joghurt nach griechischer Art mit Zucker und 3,7% Blutorangensaft und 0,8% Granatapfelsaft, 9,4% Fett im Milchanteil. Aus KUHMILCH",Joghurt griechisch Blutorange-Granatapfel,opus
4003490323709,Joghurt nach griechischer Art Kirsche,Joghurt griechisch Kirsche,opus
4003514001002,Butterschmalz,Butterschmalz,opus
4003586002914,Kesselchips Sweet Chili,Kartoffelchips Sweet Chili,opus
4003586004536,Jumpys Paprika,Kartoffelsnack Paprika,opus
4003586004833,Frit-Stick,Kartoffelsticks,opus
4003754092181,"Süßes, Lübecker Edel Marzipan",Marzipan Zartbitter,opus
4003880006861,Pommes,Pommes frites tiefgekühlt,opus
4004689268900,Geräucherter Biolachs,Räucherlachs bio,opus
4004790103305,Bio Tofu Geschnetzeltes,Tofu geschnetzelt bio,opus
4005009101105,Crunchy Müsli Waldbeere,Crunchy Müsli Waldbeere,opus
4005009101730,"Gemüsechips – Pastinake, Rote Beete, Süßkartoffel, lila Süßkartoffel, Meersalz",Gemüsechips,opus
4005009103345,"Gemüsechips – Pastinake, Chioggia Beete, lila Süßkartoffel, Kartoffel, schwarzer Pfeffer & Meersalz",Gemüsechips,opus
4005500087151,Thomy Reines Sonnenblumenöl,Sonnenblumenöl,opus
4005500339205,Maggi Ravioli in pikanter Sauce 4005500339205 Ravioli in pikanter Sauce mit Rindfleisch und Speck,Ravioli in Sauce,opus
4006040007999,Bionella,Nuss-Nougat-Creme bio,opus
4006099431509,"Spanische Oliven, gefüllt mit Paprikapaste",Oliven grün gefüllt Paprika,opus
4006153116007,Weißwurst,Weißwurst,opus
4006237610018,Milchreis,Milchreis,opus
4006402020413,Bavaria Blu,Blauschimmelkäse,opus
4006402027139,Bavaria Blu,Blauschimmelkäse,opus
4006402039385,Bergbauern Käse mild-cremig,Weichkäse Weißschimmel laktosefrei,opus
4006402046192,Bergbauern mild nussig Käse,Schnittkäse laktosefrei,opus
4006431706005,Serrano Schinken,Serrano-Schinken,opus
4006431706012,Schwarzwälder Schinken,Schwarzwälder Schinken,opus
4006431707873,Serrano Minis,Serrano-Schinken Mini,opus
4006451000312,Räucherlachs,Räucherlachs,opus
4006544205006,Zucker Raffinade,Zucker,opus
4006544307007,Puderzucker,Puderzucker,opus
4006544416006,Gelier Rüben Zucker 2:1,Gelierzucker 2:1,opus
4006748000155,Sticks,Salzstangen,opus
4006784292866,Rinder-Hackfleisch,Rinderhackfleisch,opus
4006824003759,Mayonnaise,Mayonnaise,opus
4006922000407,Heringsfilets Tomaten-Creme,Heringsfilets Tomatencreme,opus
4006922001503,Heringsfilet in Paprika-Creme,Heringsfilets Paprikacreme,opus
4006922001602,Heringsfilets - Pfeffercreme,Heringsfilets Pfeffercreme,opus
4006922002401,Heringsfilets Balkan-Sauce,Heringsfilets Balkansauce,opus
4008088244084,Studentenfutter,Studentenfutter,opus
4008088919821,Snack Nüsse pur,Nussmischung geröstet,opus
4008210262009,Kuchenmeister Koala Kakao,Kekse Kakaocreme,opus
4008258048030,Sonnenblumenkerne,Sonnenblumenkerne,opus
4008258051030,Nuts'n Berries,Nuss-Frucht-Mischung,opus
4008258107010,Cashew Kerne Nüsse,Cashewkerne,opus
4008258130018,Walnusskerne,Walnusskerne,opus
4008258150092,Nusskernmischung,Nussmischung,opus
4008258154229,Studentenfutter,Studentenfutter,opus
4008258156001,Beeren-Nuss-Mix fruchtig-herb,Beeren-Nuss-Mischung,opus
4008258235003,Feigen,Feigen getrocknet,opus
4008258252017,Datteln entsteint,Datteln entsteint,opus
4008258274019,Bananenchips,Bananenchips,opus
4008258292013,Soft Aprikosen,Aprikosen getrocknet,opus
4008258293003,Datteln,Datteln getrocknet,opus
4008258359013,Aprikosen,Aprikosen getrocknet,opus
4008258502006,Leinsamen,Leinsamen,opus
4008258528020,Popcorn-Mais,Popcornmais,opus
4008366001309,Bami Goreng,Bami Goreng tiefgekühlt,opus
4008366001347,Hähnchen Curry,Hähnchen-Curry tiefgekühlt,opus
4008366001460,Hähnchen-Geschnetzeltes mit Bandnudeln,Hähnchengeschnetzeltes Bandnudeln tiefgekühlt,opus
4008366001484,Bratkartoffel Hähnchen Pfanne,Bratkartoffelpfanne Hähnchen tiefgekühlt,opus
4008366002757,Spätzle Pfanne,Spätzlepfanne Hähnchen tiefgekühlt,opus
4008366006915,Gemüse Pfanne alla Toscana,Gemüsepfanne italienisch tiefgekühlt,opus
4008366008582,Hühnerfrikassee,Hühnerfrikassee tiefgekühlt,opus
4008366008704,Hähnchen Paella,Hähnchen-Paella tiefgekühlt,opus
4008366009763,Fisch Schlemmerfilet Brokkoli Mandel,Schlemmerfilet Brokkoli-Mandel tiefgekühlt,opus
4008366009787,SCHLEMMERFILET MEDITERRANER ART,Schlemmerfilet mediterran tiefgekühlt,opus
4008366009909,Gemüse Pfanne Mediterran,Gemüsepfanne mediterran tiefgekühlt,opus
4008366010387,Fischstäbchen ( Frosta),Fischstäbchen tiefgekühlt,opus
4008366010639,14 Knusper Minis Alaska Seelachs,Knusper-Minis Seelachs tiefgekühlt,opus
4008366010967,Rahmgeschnetzeltes mit Hähnchen und Spätzle,Rahmgeschnetzeltes Hähnchen Spätzle tiefgekühlt,opus
4008366012831,Süsskartoffel Pfanne vegan,Süßkartoffelpfanne vegan tiefgekühlt,opus
4008391212145,Kakao-Düsis,Dinkel-Vollkorn-Müsli Kakao,opus
4008400221021,Kinder Riegel 10er-Pack,Schokoriegel gefüllt,opus
4008400290829,Kinder Pingui 8er-Pack,Milchschnitte Schoko,opus
4008400301020,Duplo Riegel 10er-Pack,Schokoriegel Waffel Nougat,opus
4008400351926,Hanuta Minis,Haselnusswaffeln,opus
4008400401621,Nutella,Nuss-Nougat-Creme,opus
4008400402222,Nutella,Nuss-Nougat-Creme,opus
4008432027257,Protinella,Mozzarella laktosearm,opus
4008432042229,Emmentaler in Scheiben hauchdünn,Emmentaler in Scheiben,opus
4008432086421,Almdammer hauchdünn,Schnittkäse in Scheiben laktosefrei,opus
4008452010017,Weihenstephan Milch 3.5%,Vollmilch frisch,opus
4008452010031,"Alpenmilch 1,5% Fett",Milch fettarm frisch,opus
4008452010222,EDEKA BUTTER WEIHENSTEPHAN Butter 82 % Fett Aus der Kühlung 250g Packung 1.11€ 1kg 4.00€,Butter mildgesäuert,opus
4008452011960,"Joghurt mild 0,1% Fett",Joghurt mild fettarm,opus
4008452023413,Sahne zum Kochen (Weihenstephan),Sahne zum Kochen,opus
4008452027602,"H-Milch 3,5%",H-Milch,opus
4008452033511,Frischer Kakao,Kakao Milchgetränk,opus
4008452033962,Milch,H-Milch fettarm,opus
4008452035539,Rahmjoghurt Stracciatella,Rahmjoghurt Stracciatella,opus
4008471503996,Söbbeke Bio-Joghurt mild Vanille 4008471503996 Bio-Joghurt mild Vanille,Joghurt Vanille bio,opus
4008471505006,"Söbbeke Bio Weidenmilch Joghurt mild ABC 4008471505006 Bio-Joghurt mild 3,8% Fett",Joghurt mild bio,opus
4008471507932,Bio joghurt mild stracciatella,Joghurt Stracciatella bio,opus
4008534040000,Ayran (original türkische Art),Ayran,opus
4008577006315,Unsere Goldstücke - Weizen-Brötchen,Weizenbrötchen,opus
4008577006872,Hot Chocolate Brownie Lust auf Kuchen,Schokokuchen,opus
4008948027000,Jever Pilsener,Pils,opus
4009077031388,Em-eukal Hustenmischung,Hustenbonbons,opus
4009233003556,Steinofen Pizza Peperoni,Tiefkühlpizza Salami,opus
4009233003563,Steinofen Pizza Schinken,Tiefkühlpizza Schinken,opus
4009233003587,Steinofen Pizza Speciale,Tiefkühlpizza Speciale,opus
4009233003624,Steinofen-Pizza - Chicken,Tiefkühlpizza Hähnchen,opus
4009233003655,Steinofen-Pizza - Diavolo,Tiefkühlpizza Diavolo,opus
4009233003686,Flammkuchen Elsässer Art,Flammkuchen tiefgekühlt,opus
4009233003693,Steinofen Pizza Champignon,Tiefkühlpizza Champignon,opus
4009233003921,Steinofen-Pizza Thunfisch,Tiefkühlpizza Thunfisch,opus
4009233003952,Steinofen-Pizza - Mozzarella,Tiefkühlpizza Mozzarella,opus
4009233006854,Die Backfrische Thunfisch,Tiefkühlpizza Thunfisch,opus
4009300007401,Tee marokkanische Minze,Tee Minze,opus
4009300008170,Tee Waldbeere,Früchtetee Waldbeere,opus
4009300013631,Süßer Bratapfel - Früchtetee mit Bratapfelaroma,Früchtetee Bratapfel,opus
4009300014164,Mediterraner Pfirsich,Früchtetee Pfirsich,opus
4009447001508,Majonaise,Mayonnaise,opus
4009491088616,Limette Pur,Limettensaft,opus
4009700020727,Danone Dany Dunkle Schoko + Sahne 4 x 115g = 460g,Schokopudding mit Sahne,opus
4009700036810,Actimel Granatapfel,Joghurtdrink probiotisch,opus
4009700069269,"Danone ACTIVIA® XXL Cerealienmix 2x Müsli / 2x Dinkel & Walnuss / 2x Quinoa & Sonnenblumenkerne / 2x Cerealien 3,5% 8 x 115g = 920g",Joghurt mit Cerealien,opus
4009700074720,Danone Actimel® CLASSIC 8X100G,Joghurtdrink probiotisch,opus
4009900508353,Kaugummi Menthol & Eucalyptus,Kaugummi Menthol Eukalyptus zuckerfrei,opus
4010355107053,Hafer Drink Natur,Haferdrink bio,opus
4010355117571,Mais-Amaranth-Waffeln gesalzen mit Reis & Leinsamen,Maiswaffeln gesalzen,opus
4010355142870,Streichcreme Paprika-Chili,Gemüseaufstrich Paprika,opus
4010355198044,Rosinen,Rosinen bio,opus
4010355291783,Agavendicksaft,Agavendicksaft bio,opus
4010355298355,Dmbio Ahornsirup Grad a,Ahornsirup bio,opus
4010355298379,Ahornsirup Grad C,Ahornsirup,opus
4010355450999,Tomaten ketchup,Tomatenketchup,opus
4010355479655,Sonnenblumen Kerne,Sonnenblumenkerne,opus
4010355511485,Dinkel Vollkorn Locken,Dinkelvollkornnudeln,opus
4010355519955,Leinöl nativ,Leinöl nativ,opus
4010355537034,Milchreis,Milchreis,opus
4010442417157,"Datteln, naturbelassenen",Datteln getrocknet,opus
4010534012338,Mutter's Leberwurst,Streichleberwurst,opus
4011437040183,Hefeflocken,Hefeflocken,opus
4011800523312,Haferkraft Cranberry Kürbiskern,Müsliriegel,opus
4011800548810,nussvoll Nuss-Quartett & Traube,Nussriegel,opus
4011932228284,Dallmann’s Salbei-Bonbons 4011932228284 Hals- und Hustenbonbons aus der bewährten Salbeipflanze (Salvia officinalis L.),Salbeibonbons,opus
4011932229335,Salbei-Bonbons,Salbeibonbons zuckerfrei,opus
4012263019428,Milchbrötchen mit Schokostückche,Milchbrötchen mit Schokostückchen,opus
4012359744005,Tofufilets Asia,Tofu mariniert,opus
4013200387716,Tahini,Tahini,opus
4013320225905,Faires Pfund Bio Honig,Honig,opus
4013392081058,Russisch Brot,Russisch Brot,opus
4013743001605,Malzkaffee,Malzkaffee,opus
4013752019004,Zwieback,Zwieback,opus
4014051001417,Othello Keks,Kekse,opus
4014303111222,Halloren Kugeln,Pralinen,opus
4014400400007,Toffifee 15er,Karamellbonbons,opus
4014400901405,Merci Milk Selection,Pralinen,opus
4014400917956,Finest Selection Mandel Knusper Vielfalt,Pralinen Mandel,opus
4014400920390,Lachgummi Apfellinge,Fruchtgummi,opus
4014500029658,Zottarella Minis - Classic,Mozzarella mini,opus
4014500030388,Zottarella Minis - Baslilikum,Mozzarella mini Basilikum,opus
4014500036830,Monte MAXI,Milchdessert Schoko-Haselnuss,opus
4014500059570,Sahne-Joghurt mild Amarena-Kirsche,Fruchtjoghurt Kirsche,opus
4014500059617,Zott Sahne Joghurt mild Erdbeere 4014500059617 Sahnejoghurt mild mit Erdbeeren. 10% Fett im Milchantei,Fruchtjoghurt Erdbeere,opus
4014500234915,Mozarella,Mozzarella,opus
4014500515502,Monte Snack,Kuchenschnitte,opus
4014807001029,Kellerbier 1402,Kellerbier,opus
4015427111662,Vollkorn Knusper-Brot,Knäckebrot Vollkorn,opus
4015637822952,Falafel,Falafel,opus
4016241015228,"Weidemilch (Vollmilch), frisch, 3,8% (Bio)",Vollmilch frisch,opus
4016241030603,Skyr Natur,Skyr natur,opus
4016241030610,Skyr Aprikose-Sanddornbeere,Fruchtskyr Aprikose-Sanddorn,opus
4016241030627,Skyr Heidelbeere-Holunder,Fruchtskyr Heidelbeere-Holunder,opus
4016241030634,Skyr cranberry,Fruchtskyr Cranberry,opus
4016241030917,Skyr Bourbon Vanille,Skyr Vanille,opus
4016241040008,"Magerquark 0,3%",Magerquark,opus
4016241060006,EDEKA BUTTER Hansano Butter 250g 2.29€ 1kg 9.16€,Butter,opus
4017074131710,Sawell,Mineralwasser sprudelnd,opus
4017100345005,Messino Edelherb,Gebäck Orange Schokolade,opus
4017100370007,Leibniz Butterkeks,Butterkeks,opus
4017100706004,Lorenz Saltletts Sticks,Salzstangen,opus
4017881005006,"Essig-Essenz, 24,9 % Säure",Essigessenz,opus
4018077672972,Crunchips Paprika,Kartoffelchips Paprika,opus
4018077714313,Naturals - Meersalz und Pfeffer,Kartoffelchips Meersalz Pfeffer,opus
4018077714351,Naturals Chips &quot;fein gesalzen&quot;,Kartoffelchips,opus
4019300004614,Quarkgenuss Erdbeere,Fruchtquark Erdbeere,opus
4019300004621,Quarkgenuss - Kirsche,Fruchtquark Kirsche,opus
4019300004737,Quarkgenuss - Typ Vanillekipferl,Quarkzubereitung Vanillekipferl,opus
4019300005208,"Fitline Natur 0,2% Fett",Frischkäse natur,opus
4019300051953,Creation alla Bruschetta,Frischkäse Bruschetta,opus
4019300053414,classico formaggio fresco,Frischkäse,opus
4019300090006,Frischkäsezubereitung Kirsch-Paprika,Frischkäse Kirsch-Paprika,opus
4019300097005,Körniger Frischkäse,Körniger Frischkäse,opus
4019300158034,Miree Pikante Kräuter,Frischkäse Kräuter,opus
4019300162970,Quarkgenuss - Kokos,Quarkzubereitung Kokos,opus
4019300164486,"Fitline 0,2% Paprika-Chili",Frischkäse Paprika-Chili,opus
4019467438208,Hähnchen-Grillbraten,Hähnchen-Grillbraten,opus
4021700900021,Puffreis mit Schokolade,Schokoriegel Puffreis,opus
4021782371566,Rinderhackfleisch,Rinderhackfleisch,opus
4021900131546,Kartoffelsalat mit Joghurt,Kartoffelsalat,opus
4022396000033,Spezial,Helles Bier,opus
4025500143350,Grießpudding mit Kirschsoße,Grießpudding Kirsche,opus
4025500163082,Reine Buttermilch,Buttermilch,opus
4025500163921,Fruchtbuttermilch - Erdbeere,Fruchtbuttermilch Erdbeere,opus
4025500163938,Frucht Butter Milch Zitrone,Fruchtbuttermilch Zitrone,opus
4025500170639,Müller Milch Reis leicht & lecker Zimt,Milchreis Zimt,opus
4025500186821,Kalinka Kefir,Kefir,opus
4025700001450,Schokolade Joghurt,Schokolade Joghurtfüllung,opus
4027400070361,Gewürz Ketchup Curry Scharf,Curry-Ketchup scharf,opus
4027400168105,Curry Ketchup,Curry-Ketchup,opus
4028900004641,"Joghurt 3,5% Fett",Joghurt natur,opus
