llm_name,taxonomy_id,category
Erbsenpüree,erbsen,obst-gemuese
Erdbeeren,frisches-obst,obst-gemuese
Erdbeeren frisch,frisches-obst,obst-gemuese
Erdbeerkompott,obstkonserven,obst-gemuese
Erdbeerkonfitüre,erdbeerkonfituere,obst-gemuese
Erdbeerkonfitüre bio,erdbeerkonfituere,obst-gemuese
Erdbeerkonfitüre ohne Zuckerzusatz,erdbeerkonfituere,obst-gemuese
Erdbeermarmelade,erdbeerkonfituere,obst-gemuese
Ajvar scharf,saucen-ketchup,obst-gemuese
Ananas,ananas-konserve,obst-gemuese
Ananas Dose,ananas-konserve,obst-gemuese
Ananas Konserve,ananas-konserve,obst-gemuese
Ananas Scheiben,ananas-konserve,obst-gemuese
Ananas Scheiben Saft,ananas-konserve,obst-gemuese
Ananas Scheiben gezuckert,ananas-konserve,obst-gemuese
Ananas Stücke,ananas-konserve,obst-gemuese
Ananas Stücke Konserve,ananas-konserve,obst-gemuese
Ananas frisch,frisches-obst,obst-gemuese
Ananas getrocknet,getrocknete-ananas,obst-gemuese
Ananas in Dose,ananas-konserve,obst-gemuese
Ananas in Saft,ananas-konserve,obst-gemuese
Ananas in Stücken,ananas-konserve,obst-gemuese
Ananaskonfitüre,ananaskonfituere,obst-gemuese
Apfel,aepfel,obst-gemuese
Apfel Braeburn,aepfel,obst-gemuese
Apfel Gala bio,aepfel,obst-gemuese
Apfel Granny Smith,aepfel,obst-gemuese
Apfel Topaz,aepfel,obst-gemuese
Apfel-Bananen-Mark,apfelmus,obst-gemuese
Apfel-Mango-Mark,apfelmus,obst-gemuese
Apfel-Rhabarber-Mark,apfelmus,obst-gemuese
Apfelchips,trockenfruechte,obst-gemuese
Apfelchips bio,trockenfruechte,obst-gemuese
Apfelmark,apfelmus,obst-gemuese
Apfelmark Aprikose,apfelmus,obst-gemuese
Apfelmark Banane,apfelmus,obst-gemuese
Apfelmark Birne,apfelmus,obst-gemuese
Apfelmark Mango,apfelmus,obst-gemuese
Apfelmark Mango bio,apfelmus,obst-gemuese
Apfelmark Mehrfrucht,apfelmus,obst-gemuese
Apfelmus,apfelmus,obst-gemuese
Apfelmus Mango,apfelmus,obst-gemuese
Apfelmus bio,apfelmus,obst-gemuese
Apfelmus gezuckert,apfelmus,obst-gemuese
Apfelmus mit Mango bio,apfelmus,obst-gemuese
Apfelmus ohne Zuckerzusatz,apfelmus,obst-gemuese
Apfelmus ungezuckert,apfelmus,obst-gemuese
Apfelringe getrocknet,apfelringe,obst-gemuese
Apfelrotkohl,rotkohl,obst-gemuese
Aprikosen Konserve,obstkonserven,obst-gemuese
Aprikosen getrocknet,getrocknete-aprikosen,obst-gemuese
Aprikosen in Dose,obstkonserven,obst-gemuese
Aprikosenkonfitüre,aprikosenkonfituere,obst-gemuese
Aprikosenmarmelade,aprikosenkonfituere,obst-gemuese
Artischocken eingelegt,artischockenherzen,obst-gemuese
Artischocken gegrillt,artischockenherzen,obst-gemuese
Artischocken in Öl,artischockenherzen,obst-gemuese
Artischockenherzen,artischockenherzen,obst-gemuese
Asia-Pilze,gemuesekonserven,obst-gemuese
Auberginenpüree geröstet,gemuesekonserven,obst-gemuese
Aufstrich Paprika Linsen,gemuesekonserven,obst-gemuese
Avocado,avocado,obst-gemuese
Avocado bio,avocado,obst-gemuese
Baked Beans,gemuesekonserven,obst-gemuese
Bananen,bananen,obst-gemuese
Bananenchips,bananenchips,obst-gemuese
Beeren-Nuss-Mischung,studentenfutter,obst-gemuese
Beerenkonfitüre,waldfruchtkonfituere,obst-gemuese
Blattspinat,frisches-gemuese,obst-gemuese
Blaubeeren getrocknet,trockenfruechte,obst-gemuese
Blumenkohl-Popcorn vegan,nuesse-knabbermischungen,obst-gemuese
Bohnen Bianchi di Spagna,gemuesekonserven,obst-gemuese
Bohnen Tomatensoße,gemuesekonserven,obst-gemuese
Bohnen getrocknet,gemuesekonserven,obst-gemuese
Bohnen grün,gruene-bohnen,obst-gemuese
Bohnen grün Dose,gruene-bohnen,obst-gemuese
Bohnen grün Konserve,gruene-bohnen,obst-gemuese
Bohnen in Tomatensauce,gemuesekonserven,obst-gemuese
Bohnen weiß gekocht,gemuesekonserven,obst-gemuese
Bohneneintopf,bohneneintopf,obst-gemuese
Bohneneintopf Rind,bohneneintopf,obst-gemuese
Bohnenkerne grün,gruene-bohnen,obst-gemuese
Borlottibohnen Dose,gemuesekonserven,obst-gemuese
Bratkartoffeln,gemuesekonserven,obst-gemuese
Brechbohnen,gruene-bohnen,obst-gemuese
Erdbeermarmelade bio,erdbeerkonfituere,obst-gemuese
Erdnuss-Mais-Mix pikant,nuesse-knabbermischungen,obst-gemuese
Essiggurken,essiggurken,obst-gemuese
Farmersalat bio,fertigsalate,obst-gemuese
Feigen getrocknet,getrocknete-feigen,obst-gemuese
Feigenkonfitüre,fruchtaufstrich-mus,obst-gemuese
Feldsalat,feldsalat,obst-gemuese
Fleischsalat,fleischsalat,obst-gemuese
Frucht-Nuss-Riegel,fruchtriegel,obst-gemuese
Fruchtaufstrich Aprikose,aprikosenkonfituere,obst-gemuese
Fruchtaufstrich Erdbeere,erdbeerkonfituere,obst-gemuese
Fruchtaufstrich Erdbeere Cranberry,erdbeerkonfituere,obst-gemuese
Fruchtaufstrich Erdbeere Rhabarber,erdbeerkonfituere,obst-gemuese
Fruchtaufstrich Erdbeere-Rhabarber,erdbeerkonfituere,obst-gemuese
Fruchtaufstrich Hagebutte,fruchtaufstrich-mus,obst-gemuese
Fruchtaufstrich Himbeere,himbeerkonfituere,obst-gemuese
Fruchtaufstrich Mango,fruchtaufstrich-mus,obst-gemuese
Fruchtaufstrich Marille,aprikosenkonfituere,obst-gemuese
Fruchtaufstrich Orange,fruchtaufstrich-mus,obst-gemuese
Fruchtaufstrich Pflaume,fruchtaufstrich-mus,obst-gemuese
Fruchtaufstrich Sauerkirsche,sauerkirschkonfituere,obst-gemuese
Fruchtaufstrich Stachelbeere Rhabarber,fruchtaufstrich-mus,obst-gemuese
Fruchtaufstrich Waldfrucht,waldfruchtkonfituere,obst-gemuese
Fruchtbällchen Kokos Mango,fruchtriegel,obst-gemuese
Fruchtchips Apfel Blaubeere,trockenfruechte,obst-gemuese
Fruchtcocktail in Sirup,obstkonserven,obst-gemuese
Fruchtmus Apfel Mango,apfelmus,obst-gemuese
Fruchtmus Apfel Mango bio,apfelmus,obst-gemuese
Fruchtmus Quetschie,apfelmus,obst-gemuese
Fruchtpüree,fruchtaufstrich-mus,obst-gemuese
Fruchtpüree Banane Erdbeere,fruchtaufstrich-mus,obst-gemuese
Fruchtriegel,fruchtriegel,obst-gemuese
Fruchtriegel Cranberry Maracuja,fruchtriegel,obst-gemuese
Fruchtriegel Dattel Haselnuss,fruchtriegel,obst-gemuese
Fruchtschnitte Himbeer Cassis,fruchtriegel,obst-gemuese
Fruchtschnitten,fruchtriegel,obst-gemuese
Gartenkresse,frisches-gemuese,obst-gemuese
Geflügelsalat,haehnchensalat,obst-gemuese
Gemüse-Nuggets vegan,frisches-gemuese,obst-gemuese
Gemüsebouillon Würfel vegan,gemuesebruehe,obst-gemuese
Gemüsebrühe,gemuesebruehe,obst-gemuese
Gemüsebrühwürfel,gemuesebruehe,obst-gemuese
Gemüseburger vegan,frisches-gemuese,obst-gemuese
Gemüseburger vegetarisch,frisches-gemuese,obst-gemuese
Gemüsefrikadellen,frisches-gemuese,obst-gemuese
Gemüsemischung,gemuesekonserven,obst-gemuese
Gemüsemix mexikanisch,gemuesekonserven,obst-gemuese
Gemüsenudelsuppe,suppen-eintoepfe,obst-gemuese
Gemüsepfanne mediterran,gemuesekonserven,obst-gemuese
Gemüsesaft Tomate,tomatensaft,obst-gemuese
Gemüsesauce süßsauer,saucen-ketchup,obst-gemuese
Gemüseschnitzel vegan,frisches-gemuese,obst-gemuese
Gemüsesticks vegan,frisches-gemuese,obst-gemuese
Gemüsesuppe Instant,suppen-eintoepfe,obst-gemuese
Gemüsesuppe Tomate Zucchini,tomatensuppe,obst-gemuese
Gemüsesuppe asiatisch,suppen-eintoepfe,obst-gemuese
Getrocknete Tomaten in Öl,getrocknete-tomaten,obst-gemuese
Gewürzgurken,gewuerzgurken,obst-gemuese
Gewürzgurken Dill,gewuerzgurken,obst-gemuese
Gewürzgurken pikant,gewuerzgurken,obst-gemuese
Gewürzgurken scharf,gewuerzgurken,obst-gemuese
Gewürzgurken süß-sauer,gewuerzgurken,obst-gemuese
Gewürzgurken süßsauer,gewuerzgurken,obst-gemuese
Gojibeeren getrocknet,gojibeeren,obst-gemuese
Grießklößchensuppe,suppen-eintoepfe,obst-gemuese
Grüne Bohnen Konserve,gruene-bohnen,obst-gemuese
Guacamole,avocado,obst-gemuese
Gurkensalat,fertigsalate,obst-gemuese
Hagebuttenkonfitüre,fruchtaufstrich-mus,obst-gemuese
Heidelbeeren,frisches-obst,obst-gemuese
Heidelbeeren bio,frisches-obst,obst-gemuese
Heidelbeeren frisch,frisches-obst,obst-gemuese
Heidelbeeren gezuckert,obstkonserven,obst-gemuese
Heidelbeeren tiefgekühlt bio,frisches-obst,obst-gemuese
Heidelbeerkonfitüre,heidelbeerkonfituere,obst-gemuese
Heiße Zitrone Instant,suppen-eintoepfe,obst-gemuese
Heringssalat,heringssalat,obst-gemuese
Himbeeren,himbeeren-frisch,obst-gemuese
Himbeeren frisch,himbeeren-frisch,obst-gemuese
Himbeerkonfitüre,himbeerkonfituere,obst-gemuese
Himbeermarmelade,himbeerkonfituere,obst-gemuese
Himbeermarmelade bio,himbeerkonfituere,obst-gemuese
Hähnchensalat,haehnchensalat,obst-gemuese
Ingwer bio,frisches-gemuese,obst-gemuese
Ingwer kandiert,trockenfruechte,obst-gemuese
Instantnudeln Ente,suppen-eintoepfe,obst-gemuese
Instantnudelsuppe vegan scharf,suppen-eintoepfe,obst-gemuese
Instantsuppe Spargel,spargelcremesuppe,obst-gemuese
Instantsuppe Tomate,tomatensuppe,obst-gemuese
Jackfruit Konserve,gemuesekonserven,obst-gemuese
Jackfruit Teriyaki,gemuesekonserven,obst-gemuese
Jalapeños eingelegt,jalapenos-eingelegt,obst-gemuese
Jalapeños grün,frisches-gemuese,obst-gemuese
Karotten,moehren,obst-gemuese
Karottensaft,frisches-gemuese,obst-gemuese
Karottensuppe,suppen-eintoepfe,obst-gemuese
Kartoffel-Lauch-Suppe,suppen-eintoepfe,obst-gemuese
Kartoffelpüree,gemuesekonserven,obst-gemuese
Kartoffelsalat,kartoffelsalat,obst-gemuese
Kartoffelsalat mit Sahne,kartoffelsalat,obst-gemuese
Kartoffelstock Instant,gemuesekonserven,obst-gemuese
Kichererbsen,kichererbsen,obst-gemuese
Kichererbsen Dose,kichererbsen,obst-gemuese
Kichererbsen gekocht,kichererbsen,obst-gemuese
Kichererbseneintopf,suppen-eintoepfe,obst-gemuese
Kidneybohnen,kidneybohnen,obst-gemuese
Kidneybohnen Konserve,kidneybohnen,obst-gemuese
Kidneybohnen Konserve bio,kidneybohnen,obst-gemuese
Kimchi,kimchi,obst-gemuese
Kimchi mild,kimchi,obst-gemuese
Kirschkonfitüre,sauerkirschkonfituere,obst-gemuese
Kirschpaprika gefüllt,eingelegtes-gemuese,obst-gemuese
Kirschtomaten,cherrytomaten,obst-gemuese
Kirschtomaten Basilikum,cherrytomaten,obst-gemuese
Kirschtomaten geschält,geschaelte-tomaten,obst-gemuese
Kiwi gold,frisches-obst,obst-gemuese
Kloßteig,gemuesekonserven,obst-gemuese
Knoblauch,knoblauch,obst-gemuese
Knoblauch eingelegt,eingelegtes-gemuese,obst-gemuese
Knoblauch eingelegt Kräuter,eingelegtes-gemuese,obst-gemuese
Knoblauch in Chiliöl,eingelegtes-gemuese,obst-gemuese
Knoblauch in Öl,eingelegtes-gemuese,obst-gemuese
Knoblauchgranulat,frisches-gemuese,obst-gemuese
Knoblauchpaste,frisches-gemuese,obst-gemuese
Knoblauchsauce,saucen-ketchup,obst-gemuese
Kokoschips,kokoschips,obst-gemuese
Kokoschips getrocknet,kokoschips,obst-gemuese
Kokosmehl,kokosmehl,obst-gemuese
Kokosraspel,kokosraspeln,obst-gemuese
Kokosraspeln,kokosraspeln,obst-gemuese
Konfitüre,fruchtaufstrich-mus,obst-gemuese
Konfitüre Aprikose,aprikosenkonfituere,obst-gemuese
Konfitüre Brombeere,fruchtaufstrich-mus,obst-gemuese
Konfitüre Erdbeer Quitte,erdbeerkonfituere,obst-gemuese
Konfitüre Erdbeer-Vanille,erdbeerkonfituere,obst-gemuese
Konfitüre Erdbeere,erdbeerkonfituere,obst-gemuese
Konfitüre Erdbeere extra,erdbeerkonfituere,obst-gemuese
Konfitüre Heidelbeere Cassis,heidelbeerkonfituere,obst-gemuese
Konfitüre Himbeere,himbeerkonfituere,obst-gemuese
Konfitüre Kirsche,sauerkirschkonfituere,obst-gemuese
Konfitüre Preiselbeere,preiselbeeren,obst-gemuese
Konfitüre Sauerkirsche,sauerkirschkonfituere,obst-gemuese
Konfitüre Schwarzkirsche,sauerkirschkonfituere,obst-gemuese
Konfitüre Stachelbeere,fruchtaufstrich-mus,obst-gemuese
Konfitüre Waldheidelbeere,heidelbeerkonfituere,obst-gemuese
Konfitüre schwarze Johannisbeere,johannisbeerkonfituere,obst-gemuese
Krautsalat,krautsalat,obst-gemuese
Krautsalat Paprika,krautsalat,obst-gemuese
Krautsalat griechisch,krautsalat,obst-gemuese
Kren gerieben,frisches-gemuese,obst-gemuese
Käferbohnen,gemuesekonserven,obst-gemuese
Käsesalat,fertigsalate,obst-gemuese
Kürbiscremesuppe,kuerbissuppe,obst-gemuese
Kürbispüree,gemuesekonserven,obst-gemuese
Kürbissuppe,kuerbissuppe,obst-gemuese
Letscho,gemuesekonserven,obst-gemuese
Linsen,linsen,obst-gemuese
Linsen Konserve,linsen,obst-gemuese
Linsen gegart,linsen,obst-gemuese
Linsen grün,linsen,obst-gemuese
Linsen in Tomatensauce,linsen,obst-gemuese
Linsen mit Speck,linsen,obst-gemuese
Linseneintopf,linseneintopf,obst-gemuese
Linseneintopf vegetarisch,linseneintopf,obst-gemuese
Linsensuppe,linseneintopf,obst-gemuese
Linsensuppe thailändisch,linseneintopf,obst-gemuese
Mais,mais,obst-gemuese
Mais Dose,mais,obst-gemuese
Mais Dose bio,mais,obst-gemuese
Mais Konserve,mais,obst-gemuese
Mais Konserve mit Chili,mais,obst-gemuese
Mais Mexiko-Mix,mais,obst-gemuese
Mais bio,mais,obst-gemuese
Mais eingelegt,mais,obst-gemuese
Maiskolben,maiskolben,obst-gemuese
Maiskölbchen,maiskolben,obst-gemuese
Mandarinen,mandarinen-frisch,obst-gemuese
Mandarinen Dose,mandarinen-konserve,obst-gemuese
Mandarinen gezuckert,mandarinen-konserve,obst-gemuese
Mandeln,nuesse-knabbermischungen,obst-gemuese
Mango,frisches-obst,obst-gemuese
Mango getrocknet,getrocknete-mango,obst-gemuese
Mango tiefgekühlt,frisches-obst,obst-gemuese
Mangochutney,saucen-ketchup,obst-gemuese
Marillenkonfitüre,aprikosenkonfituere,obst-gemuese
Marmelade Brombeere,fruchtaufstrich-mus,obst-gemuese
Marmelade Erdbeer-Vanille,erdbeerkonfituere,obst-gemuese
Marmelade Erdbeere,erdbeerkonfituere,obst-gemuese
Marmelade Himbeere,himbeerkonfituere,obst-gemuese
Marmelade Johannisbeere,johannisbeerkonfituere,obst-gemuese
Marmelade Johannisbeere schwarz,johannisbeerkonfituere,obst-gemuese
Marmelade Mango,fruchtaufstrich-mus,obst-gemuese
Marmelade Zitrusfrüchte,fruchtaufstrich-mus,obst-gemuese
Marmelade rote Früchte,waldfruchtkonfituere,obst-gemuese
Marmelade schwarze Johannisbeere,johannisbeerkonfituere,obst-gemuese
Maronen gegart,nuesse-knabbermischungen,obst-gemuese
Medjool Datteln,datteln,obst-gemuese
Mirabellenkonfitüre,fruchtaufstrich-mus,obst-gemuese
Mixed Pickles,eingelegtes-gemuese,obst-gemuese
Möhren,moehren,obst-gemuese
Möhren bio,moehren,obst-gemuese
Möhreneintopf,suppen-eintoepfe,obst-gemuese
Möhrensalat,fertigsalate,obst-gemuese
Müsli Knusper Beere,nuesse-knabbermischungen,obst-gemuese
Müsliriegel,fruchtriegel,obst-gemuese
Müsliriegel Banane,fruchtriegel,obst-gemuese
Müsliriegel Erdbeere,fruchtriegel,obst-gemuese
Müsliriegel Kirsch-Joghurt zuckerfrei,fruchtriegel,obst-gemuese
Müsliriegel Schoko Banane,fruchtriegel,obst-gemuese
Müsliriegel Schokolade Banane,fruchtriegel,obst-gemuese
Nudelsauce Gemüse,tomatensauce,obst-gemuese
Nuss-Frucht-Mischung,studentenfutter,obst-gemuese
Nuss-Frucht-Mix,studentenfutter,obst-gemuese
Nussriegel Mandel,fruchtriegel,obst-gemuese
Oliven grün entsteint,eingelegtes-gemuese,obst-gemuese
Oliven schwarz,eingelegtes-gemuese,obst-gemuese
Paprika bio,frisches-gemuese,obst-gemuese
Paprika gegrillt,gemuesekonserven,obst-gemuese
Paprika geröstet süß-sauer,eingelegtes-gemuese,obst-gemuese
Paprika rot,frisches-gemuese,obst-gemuese
Paprikacreme scharf,saucen-ketchup,obst-gemuese
Paprikamark,saucen-ketchup,obst-gemuese
Passata,passierte-tomaten,obst-gemuese
Passata Basilikum,passierte-tomaten,obst-gemuese
Passata bio,passierte-tomaten,obst-gemuese
Passierte Tomaten,passierte-tomaten,obst-gemuese
Passierte Tomaten Basilikum,passierte-tomaten,obst-gemuese
Passierte Tomaten bio,passierte-tomaten,obst-gemuese
Passierte Tomaten mit Basilikum,passierte-tomaten,obst-gemuese
Pastasauce Arrabbiata,tomatensauce,obst-gemuese
Pastasauce Napoletana,tomatensauce,obst-gemuese
Trail Mix Beeren,studentenfutter,obst-gemuese
Trailmix,studentenfutter,obst-gemuese
Trauben kernlos,tafeltrauben,obst-gemuese
Trauben kernlos dunkel,tafeltrauben,obst-gemuese
Trockenfeigen,getrocknete-feigen,obst-gemuese
Trockenfrüchte Mango,getrocknete-mango,obst-gemuese
Trockenfrüchte gemischt,trockenfruchtmischung,obst-gemuese
Trockenobst gemischt,trockenfruchtmischung,obst-gemuese
Trockenpflaumen,backpflaumen,obst-gemuese
Trockenpflaumen entsteint,backpflaumen,obst-gemuese
Waldfruchtkonfitüre,waldfruchtkonfituere,obst-gemuese
Wassermelone gelb kernarm,frisches-obst,obst-gemuese
Wassermelone kernarm,frisches-obst,obst-gemuese
Weinsauerkraut,sauerkraut,obst-gemuese
Weintrauben hell kernlos,tafeltrauben,obst-gemuese
Weintrauben kernlos,tafeltrauben,obst-gemuese
Weintrauben rot kernlos,tafeltrauben,obst-gemuese
Weiße Bohnen Dose,gemuesekonserven,obst-gemuese
Weißkrautsalat,krautsalat,obst-gemuese
Zitronen,frisches-obst,obst-gemuese
Zitronen bio,frisches-obst,obst-gemuese
Zitronenmarmelade,fruchtaufstrich-mus,obst-gemuese
Zucchini bio,frisches-gemuese,obst-gemuese
Zwetschgen getrocknet,backpflaumen,obst-gemuese
Zwetschgenkonfitüre,fruchtaufstrich-mus,obst-gemuese
Zwiebelringe,roestzwiebeln,obst-gemuese
Äpfel,aepfel,obst-gemuese
Äpfel Gala,aepfel,obst-gemuese
Äpfel Pink Lady,aepfel,obst-gemuese
Äpfel rot,aepfel,obst-gemuese
Peperoni eingelegt,eingelegtes-gemuese,obst-gemuese
Peperoni eingelegt scharf,eingelegtes-gemuese,obst-gemuese
Peperoni gefüllt,eingelegtes-gemuese,obst-gemuese
Peperoni mild,eingelegtes-gemuese,obst-gemuese
Pesto Tomate,saucen-ketchup,obst-gemuese
Pfefferonen,eingelegtes-gemuese,obst-gemuese
Pfefferonen griechisch,eingelegtes-gemuese,obst-gemuese
Pfefferoni eingelegt,eingelegtes-gemuese,obst-gemuese
Pfefferoni griechisch,eingelegtes-gemuese,obst-gemuese
Pfifferlingcremesuppe,suppen-eintoepfe,obst-gemuese
Pfirsiche Dose,pfirsiche-konserve,obst-gemuese
Pfirsiche Konserve,pfirsiche-konserve,obst-gemuese
Pfirsiche getrocknet,trockenfruechte,obst-gemuese
Pfirsiche in Sirup,pfirsiche-konserve,obst-gemuese
Pfirsichhälften in Saft,pfirsiche-konserve,obst-gemuese
Pfirsichkonfitüre,fruchtaufstrich-mus,obst-gemuese
Pfirsichmarmelade,fruchtaufstrich-mus,obst-gemuese
Pflaumen getrocknet,backpflaumen,obst-gemuese
Pflaumenkonfitüre,fruchtaufstrich-mus,obst-gemuese
Pflaumenmus,pflaumenmus,obst-gemuese
Physalis getrocknet,trockenfruechte,obst-gemuese
Pilze,champignons,obst-gemuese
Piquillo Paprika,eingelegtes-gemuese,obst-gemuese
Pistazien geröstet gesalzen,pistazien,obst-gemuese
Pizzasauce,pizzasauce,obst-gemuese
Pizzasauce Basilikum,pizzasauce,obst-gemuese
Pomelo,frisches-obst,obst-gemuese
Preiselbeeren,preiselbeeren,obst-gemuese
Preiselbeerkonfitüre,fruchtaufstrich-mus,obst-gemuese
Proteinriegel Kokos,fruchtriegel,obst-gemuese
Quinoa Bulgur,bulgursalat,obst-gemuese
Ragout fin,suppen-eintoepfe,obst-gemuese
Rahmspinat,gemuesekonserven,obst-gemuese
Rahmspinat gehackt,gemuesekonserven,obst-gemuese
Rhabarberkompott,obstkonserven,obst-gemuese
Riesenbohnen Dose,gruene-bohnen,obst-gemuese
Rispentomaten,rispentomaten,obst-gemuese
Romatomaten,romatomaten,obst-gemuese
Rosinen,rosinen,obst-gemuese
Rosinen bio,rosinen,obst-gemuese
Rote Bete,rote-bete,obst-gemuese
Rote Bete Kugeln,rote-bete,obst-gemuese
Rote Bete Scheiben,rote-bete,obst-gemuese
Rote Bete bio,rote-bete,obst-gemuese
Rote Bete eingelegt,rote-bete,obst-gemuese
Rote Bete gekocht,rote-bete,obst-gemuese
Rotkohl,rotkohl,obst-gemuese
Rotkohl Konserve,rotkohl,obst-gemuese
Rotkohl mit Apfel,rotkohl,obst-gemuese
Rotkraut,rotkohl,obst-gemuese
Rucola,frisches-gemuese,obst-gemuese
Rösti,gemuesekonserven,obst-gemuese
Röstzwiebeln,roestzwiebeln,obst-gemuese
Salat russisch,fertigsalate,obst-gemuese
Salsa Dip,saucen-ketchup,obst-gemuese
Sandwichaufstrich Fisch,fertigsalate,obst-gemuese
Sandwichgurken,gewuerzgurken,obst-gemuese
Saucenfix Rahmchampignons,saucen-ketchup,obst-gemuese
Sauerkirschen,sauerkirschen-konserve,obst-gemuese
Sauerkirschen Dose,sauerkirschen-konserve,obst-gemuese
Sauerkirschen entsteint,sauerkirschen-konserve,obst-gemuese
Sauerkirschen im Glas,sauerkirschen-konserve,obst-gemuese
Sauerkirschfruchtaufstrich,sauerkirschkonfituere,obst-gemuese
Sauerkirschkonfitüre,sauerkirschkonfituere,obst-gemuese
Sauerkirschmarmelade,sauerkirschkonfituere,obst-gemuese
Sauerkraut,sauerkraut,obst-gemuese
Sauerkraut Riesling,sauerkraut,obst-gemuese
Sauerkraut bio,sauerkraut,obst-gemuese
Sauerkraut mit Einlage,sauerkraut,obst-gemuese
Sauerkraut mit Speck,sauerkraut,obst-gemuese
Schokolinsen Knusperreis,nuesse-knabbermischungen,obst-gemuese
Schältomaten,geschaelte-tomaten,obst-gemuese
Seelachssalat,fertigsalate,obst-gemuese
Sellerie,frisches-gemuese,obst-gemuese
Selleriesalat,selleriesalat,obst-gemuese
Senfgurken,eingelegtes-gemuese,obst-gemuese
Shiitake getrocknet,trockenfruechte,obst-gemuese
Silberzwiebeln,eingelegtes-gemuese,obst-gemuese
Silberzwiebeln eingelegt,eingelegtes-gemuese,obst-gemuese
Snackpaprika rot,frisches-gemuese,obst-gemuese
Spargel weiß,weisser-spargel,obst-gemuese
Spargelcremesuppe,spargelcremesuppe,obst-gemuese
Spitzpaprika rot,frisches-gemuese,obst-gemuese
Spätzli Gemüse,frisches-gemuese,obst-gemuese
Steinpilze getrocknet,frisches-gemuese,obst-gemuese
Studentenfutter,studentenfutter,obst-gemuese
